557de1dc	-0.851485	30.9876	-0.193	2.89	-0.658	28.098
34cd9684	-0.247525	25.604	1.3861	4.46	-1.634	21.144
2e47daa4	-0.584158	32.9653	0.8613	12.17	-1.445	20.795
2d03c0d4	-0.712871	25.8094	1.1782	6.98	-1.891	18.829
5d37d054	-0.514852	30.6262	-0.74	12.16	0.225	18.466
2b3f2f4c	0.168317	21.5693	-0.2128	3.55	0.381	18.019
14673fcc	-0.465347	21.4554	-0.2128	3.55	-0.253	17.905
53837bac	-0.0594059	30.2549	-0.8861	12.78	0.827	17.475
476dfcb4	-0.247525	30.104	-1.0841	13.46	0.837	16.644
24110604	-0.811881	25.151	-0.6485	9.26	-0.163	15.891
5391536c	-0.326733	26.7772	0.1287	11.9	-0.455	14.877
470b670c	-1.61386	29.2178	-0.4356	14.95	-1.178	14.268
50cfe91c	-1.16832	28.1807	-0.5717	14.98	-0.597	13.201
3286515c	-0.475248	21.7896	0.5841	9.53	-1.059	12.26
5d99ed3c	-0.742574	22.8119	-0.7772	10.6	0.035	12.212
590feb2c	-0.881188	23.4901	-0.896	11.61	0.015	11.88
282584f4	0.148515	27.7376	-0.995	16.45	1.144	11.288
13fdf894	-0.653465	14.3045	-0.2722	4.06	-0.381	10.245
4e02e70c	0.247525	23.396	-0.8168	13.44	1.064	9.956
37914b2c	-0.376238	14.948	1.3663	5.13	-1.743	9.818
1b1b3684	0.19802	24.0668	-0.9356	14.45	1.134	9.617
1f09a3ec	-1.05941	28.0049	-1.3712	18.65	0.312	9.355
2809999c	-0.693069	24.1411	-1.0346	14.79	0.342	9.351
4515f57c	0.306931	15.3911	-0.2153	6.45	0.522	8.941
51c6157c	-0.356436	12.7797	0.5544	4.03	-0.911	8.75
2a03f15c	0.118812	17.7401	0.9702	9.0	-0.851	8.74
32ebdbac	-0.29703	17.2748	1.0792	8.82	-1.376	8.455
45ef5474	0.0693069	20.4109	-0.6014	11.98	0.671	8.431
2cc97ec4	-0.217822	20.6015	-0.7376	12.26	0.52	8.342
15527054	1.21782	11.6485	-0.2524	3.39	1.47	8.258
3dedf264	-0.29703	10.7748	-0.1831	2.55	-0.114	8.225
35904e44	-0.891089	31.8243	-1.5247	23.71	0.634	8.114
3dcf4604	-0.584158	18.9653	-0.7871	10.94	0.203	8.025
4e0caf4c	-0.811881	19.651	-0.9455	11.78	0.134	7.871
1a38536c	0.811881	12.849	-0.3019	5.06	1.114	7.789
3223bec4	-0.128713	29.5941	-0.5841	21.96	0.455	7.634
2120799c	-0.118812	23.7599	-1.1633	16.13	1.044	7.63
26739fcc	-0.188119	25.099	0.5841	17.53	-0.772	7.569
56afb264	-0.237624	28.2698	-1.3935	20.72	1.156	7.55
2d48faa4	-0.950495	21.3292	0.6633	13.86	-1.614	7.469
46197ec4	-0.544554	15.1287	-0.3044	7.96	-0.24	7.169
2ebb6d3c	-0.237624	11.2698	1.396	4.13	-1.634	7.14
3d41a3ec	-0.673267	31.9728	-1.6881	24.84	1.015	7.133
37031cb4	0.316832	4.55693	1.8613	-2.57	-1.544	7.127
43982b2c	-0.861386	34.3218	-2.141	27.32	1.28	7.002
5d63c91c	-0.514852	28.6262	-1.6386	21.67	1.124	6.956
13e043ec	-1.13861	19.1782	-0.9158	12.28	-0.223	6.898
2d3f291c	0.247525	2.89604	1.9009	-3.9	-1.653	6.796
4496199c	-0.960396	33.1634	-0.0495	26.42	-0.911	6.743
4d6ff99c	0.217822	13.8985	-0.3217	7.23	0.54	6.668
59f31aa4	-1.07921	26.1733	-1.3118	19.65	0.233	6.523
12bcf264	-0.673267	31.4728	-0.1584	25.09	-0.515	6.383
4c16dcb4	0.267327	15.2277	-0.245	8.95	0.512	6.278
51bcf264	-1.14851	18.5124	-0.0891	12.25	-1.059	6.262
56af715c	-0.29703	16.2748	0.6732	10.02	-0.97	6.255
397fd264	-0.663366	27.6386	-0.3168	21.44	-0.347	6.199
41af1474	-0.158416	25.5965	-1.2227	19.64	1.064	5.956
2da6a604	0.39604	2.88366	1.8316	-3.06	-1.436	5.944
3ee66c34	-0.0594059	10.255	1.297	4.47	-1.356	5.785
2dfb1dbc	0.524752	2.5396	1.8811	-3.24	-1.356	5.78
31d8936c	0.821782	14.5149	-0.4108	8.74	1.233	5.775
403a1dbc	-0.366337	17.6139	0.8118	11.84	-1.178	5.774
25add684	-0.613861	32.4678	-1.8811	26.74	1.267	5.728
32a2d684	-1.24752	23.354	-1.1633	17.63	-0.084	5.724
2451dcb4	-0.217822	20.6015	0.792	15.01	-1.01	5.592
28d4eb2c	0.366337	11.3861	1.3762	5.8	-1.01	5.586
39f38604	-0.544554	19.6287	0.2574	14.06	-0.802	5.569
4d73ae44	-0.594059	13.7995	1.0495	8.32	-1.644	5.48
4e142e44	-0.227723	13.4356	1.1485	7.98	-1.376	5.456
5c362c34	0.247525	16.896	-0.7178	11.6	0.965	5.296
34083684	0.049505	6.57921	1.4356	1.29	-1.386	5.289
4b17a0d4	0.0792079	22.0767	-0.6237	16.8	0.703	5.277
357804f4	-0.584158	31.9653	-2.0544	26.71	1.47	5.255
4bd2fec4	0.356436	23.2203	-1.047	18.02	1.403	5.2
225342e4	-0.49505	17.9579	-0.9752	12.78	0.48	5.178
23c6a4f4	-0.683168	20.8069	-1.1039	15.63	0.421	5.177
303e1684	-0.386139	19.7822	-1.1633	14.63	0.777	5.152
4689b684	0.594059	0.200495	2.0198	-4.91	-1.426	5.11
2e6d1dbc	-0.0891089	29.2574	-1.9356	24.2	1.846	5.057
160dffcc	-0.356436	15.2797	-0.7673	10.27	0.411	5.01
288d5264	-0.930693	18.6609	0.6534	13.69	-1.584	4.971
233265fc	-0.673267	31.9728	-1.7079	27.01	1.035	4.963
29578e44	-1.37624	26.698	-0.2376	21.76	-1.139	4.938
4be4f684	-0.39604	17.6163	0.8316	12.68	-1.228	4.936
3f4cf054	-0.326733	22.7772	0.3663	17.88	-0.693	4.897
38ef4f4c	0.970297	15.0025	0.5049	10.2	0.465	4.802
27959474	0.029703	11.2475	1.2673	6.47	-1.238	4.778
3452070c	-0.277228	16.1064	0.8712	11.34	-1.148	4.766
3cb0b264	-0.168317	18.4307	-1.094	13.79	0.926	4.641
1c9ac4f4	-0.356436	27.2797	-1.5792	22.67	1.223	4.61
562c44f4	-0.475248	31.2896	-1.9653	26.7	1.49	4.59
331ee70c	0.128713	10.9059	1.1089	6.32	-0.98	4.586
3d350814	-0.0792079	17.9233	0.7227	13.35	-0.802	4.573
1d82715c	-0.861386	19.3218	-0.9455	14.78	0.084	4.542
214a5894	-0.841584	22.1535	-1.4306	17.66	0.589	4.494
55403684	-0.861386	27.8218	-1.599	23.34	0.738	4.482
467bc4f4	0.049505	13.0792	1.1287	8.65	-1.079	4.429
2934bdbc	0.306931	11.3911	1.297	6.97	-0.99	4.421
21214c34	0.712871	20.1906	-1.2425	15.81	1.955	4.381
3cedd99c	0.287129	15.5594	0.8316	11.18	-0.544	4.379
4308670c	-0.049505	12.9208	-0.2351	8.62	0.186	4.301
3e6e7bac	-0.168317	18.4307	-1.1039	14.13	0.936	4.301
5b63a2e4	-0.326733	28.2772	-1.6188	24.0	1.292	4.277
4eab1264	0.534653	13.7054	-0.698	9.43	1.233	4.275
3a6ed57c	-0.118812	28.2599	-1.8861	24.03	1.767	4.23
508d0d3c	-0.0693069	21.0891	0.5742	16.86	-0.644	4.229
4b46799c	0.633663	12.3639	1.1881	8.15	-0.554	4.214
1fa43054	-0.316832	17.4431	-0.8564	13.27	0.54	4.173
2b95c91c	-0.0891089	10.2574	1.2772	6.14	-1.366	4.117
4821c4f4	-1.26733	25.0223	-1.3886	20.92	0.121	4.102
21811684	-0.049505	19.4208	-0.7896	15.33	0.74	4.091
4b5efdbc	-0.425743	18.6188	-0.896	14.61	0.47	4.009
4b2cbfcc	0.435644	7.54703	1.4554	3.62	-1.02	3.927
2d15b36c	0.841584	1.34653	1.8613	-2.57	-1.02	3.917
56be8b2c	-0.673267	21.9728	0.2574	18.06	-0.931	3.913
60758a24	-1.58416	31.7153	-2.1336	27.88	0.549	3.835
11aef36c	-0.841584	24.1535	-1.4207	20.32	0.579	3.834
1c33870c	0.574257	15.3688	-0.4504	11.57	1.025	3.799
2966ad3c	0.623762	12.198	-0.4009	8.4	1.025	3.798
417dfec4	0.049505	17.0792	0.8118	13.34	-0.762	3.739
257fef4c	-0.207921	23.7673	0.3762	20.05	-0.584	3.717
56e1fcb4	-0.841584	21.6535	-1.4405	17.99	0.599	3.664
26ede70c	0.465347	6.54455	1.5049	2.95	-1.04	3.595
53bb7894	-0.148515	29.7624	-1.1683	26.18	1.02	3.582
1d826b2c	0.00990099	26.9158	-1.6881	23.34	1.698	3.576
2eb7736c	0.60396	14.3663	0.9306	10.83	-0.327	3.536
4811a70c	-0.673267	19.9728	-1.2623	16.48	0.589	3.493
58847dbc	-0.207921	31.2673	-1.3737	27.8	1.166	3.467
1e184a24	-0.752475	31.146	-1.995	27.7	1.243	3.446
46271ec4	0.990099	1.33416	2.0272	-2.1	-1.037	3.434
2e3f6a24	0.188119	2.90099	1.2673	-0.52	-1.079	3.421
484ee5fc	-0.049505	17.9208	0.6435	14.52	-0.693	3.401
3f5ef57c	-0.0990099	22.5916	0.3267	19.22	-0.426	3.372
18cee5fc	-0.386139	19.7822	-0.542	16.48	0.156	3.302
385f4e44	-0.188119	23.599	-1.3316	20.31	1.143	3.289
28b71264	-0.0792079	19.4233	0.6237	16.19	-0.703	3.233
3cc05894	0.722772	9.35644	1.2475	6.14	-0.525	3.216
46eac814	0.0891089	18.7426	0.6138	15.53	-0.525	3.213
427e63ec	0.930693	15.8391	0.9207	12.67	0.01	3.169
228a5474	-0.90099	34.1584	-2.2772	31.1	1.376	3.058
194e43ec	1.20792	9.98267	-0.0965	6.94	1.304	3.043
2c19199c	-1.10891	32.1757	-0.8415	29.15	-0.267	3.026
440bd99c	-0.0792079	14.4233	-0.8465	11.44	0.767	2.983
2342978c	0.287129	14.5594	-0.7178	11.6	1.005	2.959
14e45fcc	-0.148515	22.7624	-1.3613	19.82	1.213	2.942
3393fbac	-0.584158	12.4653	0.4059	9.54	-0.99	2.925
37b22a24	-1.61386	31.7178	-0.8019	28.81	-0.812	2.908
24dac0d4	0.00990099	15.4158	0.7326	12.52	-0.723	2.896
2a6d5aa4	-0.514852	27.1262	0.0297	24.24	-0.545	2.886
46551054	-0.861386	33.8218	-2.0965	30.94	1.235	2.882
529fc0d4	-0.49505	14.4579	-0.0693	11.58	-0.426	2.878
1e7704f4	-0.970297	24.4975	-1.4603	21.66	0.49	2.837
51fdd894	-0.831683	25.8193	-1.5891	23.0	0.757	2.819
5c97157c	-0.465347	21.4554	-0.7698	18.66	0.304	2.795
3b495684	-0.039604	22.0866	-1.2128	19.3	1.173	2.787
556c80d4	0.712871	16.1906	-0.0792	13.42	0.792	2.771
4d47b78c	1.33663	2.13861	1.8019	-0.56	-0.465	2.699
41f5bfcc	0.455446	15.3787	0.8316	12.68	-0.376	2.699
487d2604	-1.45545	31.3713	-1.8465	28.69	0.391	2.681
3bb0c5fc	1.36634	10.1361	1.2079	7.48	0.158	2.656
5de37ec4	0.782178	10.8515	-0.6188	8.25	1.401	2.601
590c85fc	-0.356436	9.2797	0.6534	6.69	-1.01	2.59
24855054	-0.019802	24.9183	-0.2648	22.37	0.245	2.548
4d7f2814	0.752475	10.854	1.1386	8.32	-0.386	2.534
2b71c814	0.564356	18.203	0.6831	15.69	-0.119	2.513
22b11264	0.524752	11.5396	0.5841	9.03	-0.059	2.51
604424f4	0.0792079	16.0767	-0.7772	13.6	0.856	2.477
566ea5fc	-1.12871	21.3441	-1.2054	18.87	0.077	2.474
