41703054	-1.13861	32.6782	0.4876	10.98	-1.626	21.698
41c99264	0.0	22.25	0.9801	2.16	-0.98	20.09
3484c5fc	-0.871287	21.6559	0.3762	5.55	-1.247	16.106
4d37aa24	-1.33663	29.8614	-0.1782	13.76	-1.158	16.101
197fa4f4	-0.851485	32.4876	0.2574	16.56	-1.109	15.928
3b7e3054	0.0	15.75	1.2376	1.98	-1.238	13.77
5f75baa4	0.0	16.25	0.1683	2.56	-0.168	13.69
26cad054	-0.544554	25.2896	0.495	12.54	-1.04	12.75
239a715c	-0.257426	13.9381	0.6435	2.02	-0.901	11.918
1485091c	0.0	18.75	1.297	7.47	-1.297	11.28
5d1862e4	-0.633663	23.6361	-0.0198	12.41	-0.614	11.226
12c6fec4	-0.0891089	14.7574	0.7425	3.68	-0.832	11.077
163323ec	-0.980198	23.8317	-0.1485	12.76	-0.832	11.072
31f1dfcc	0.0693069	11.4109	1.7722	0.43	-1.703	10.981
12f1bfcc	0.00990099	17.9158	0.9405	7.5	-0.931	10.416
43bf1474	-1.71287	31.0594	-0.9504	20.82	-0.762	10.239
12a9b99c	0.0	17.75	1.2475	7.64	-1.248	10.11
55fe1dbc	-0.514852	11.6262	1.2871	1.8	-1.802	9.826
5b43ed3c	0.0	28.25	-0.9108	18.49	0.911	9.76
13a8cb2c	-0.227723	30.4356	0.0173	20.72	-0.245	9.716
1dd4ed3c	0.267327	24.2277	0.1881	14.9	0.079	9.328
108fa3ec	-0.623762	19.802	-0.1188	10.75	-0.505	9.052
363324f4	-0.861386	31.3218	-0.2376	22.76	-0.624	8.562
3f2a870c	0.0	20.75	0.2277	12.56	-0.228	8.19
2a9ca604	0.0	22.75	0.1287	14.59	-0.129	8.16
3f5aa2e4	-1.41584	26.5347	-1.2277	18.68	-0.188	7.855
5734f57c	-0.762376	17.9802	0.6237	10.19	-1.386	7.79
37287dbc	-0.584158	23.9653	-0.0297	16.25	-0.554	7.715
46b02d3c	1.11881	10.4901	1.0297	2.99	0.089	7.5
550dc5fc	-0.29703	7.77475	1.3762	0.3	-1.673	7.475
5ddd7474	-0.722772	20.1436	-0.2376	13.26	-0.485	6.884
120a3dbc	0.247525	7.39604	0.7326	0.52	-0.485	6.876
3850d15c	-0.871287	23.6559	-0.3861	16.78	-0.485	6.876
580b81dc	-0.128713	7.59406	1.0495	0.82	-1.178	6.774
1f96c1dc	-0.386139	23.7822	0.8514	17.01	-1.238	6.772
59c542e4	-1.10891	31.1757	-0.4777	24.43	-0.631	6.746
5955315c	0.19802	27.0668	0.1757	20.38	0.022	6.687
261a1684	-1.0	16.1535	0.2673	9.72	-1.267	6.434
2d97e814	-1.53465	27.0446	-1.1089	20.67	-0.426	6.375
3ff75ec4	-1.10891	21.1757	-0.7623	14.98	-0.347	6.196
60af3aa4	-1.81188	35.401	-1.4529	29.22	-0.359	6.181
2b53ef4c	-0.504951	11.2921	1.5445	5.12	-2.049	6.172
5c97157c	-0.465347	21.4554	-0.0396	15.33	-0.426	6.125
46689474	-0.970297	18.9975	0.2475	12.89	-1.218	6.107
49d44f4c	0.990099	6.83416	1.4059	0.79	-0.416	6.044
5879ad3c	-0.19802	12.4332	0.2178	6.39	-0.416	6.043
4d7eb36c	-0.564356	20.297	-0.1485	14.26	-0.416	6.037
116e63ec	0.70297	7.02475	1.1188	0.99	-0.416	6.035
58255cb4	0.0	14.75	0.4851	8.87	-0.485	5.88
60ab978c	-1.27723	32.3564	-0.8391	26.5	-0.438	5.856
1fcd04f4	-1.45545	36.3713	-1.0198	30.66	-0.436	5.711
5f4ae4f4	0.257426	5.06188	0.6039	-0.63	-0.346	5.692
1940baa4	-1.82178	37.2351	-1.5198	31.66	-0.302	5.575
11e07dbc	-0.287129	20.4406	0.0693	14.91	-0.356	5.531
361fee44	-0.792079	16.4827	0.2871	11.05	-1.079	5.433
18e1291c	-0.306931	12.1089	0.594	6.7	-0.901	5.409
47906f4c	-0.366337	28.6139	-0.2376	23.26	-0.129	5.354
421ad15c	-1.11881	21.5099	-0.1856	16.2	-0.933	5.31
16cdbdbc	-0.940594	26.4951	-0.594	21.29	-0.347	5.205
102f7894	-0.455446	19.6213	-0.1089	14.42	-0.347	5.201
2eef0b2c	-1.46535	29.7054	-1.3886	24.67	-0.077	5.035
1ffe7dbc	0.0	15.25	0.1485	10.23	-0.148	5.02
34cb23ec	0.0	15.25	0.297	10.27	-0.297	4.98
50bc070c	-0.227723	21.4356	0.2871	16.55	-0.515	4.886
241423ec	-0.653465	18.3045	-0.3168	13.44	-0.337	4.865
1e78cc34	0.435644	18.547	1.198	13.81	-0.762	4.737
3d2f65fc	-0.792079	24.9827	-0.6361	20.28	-0.156	4.703
5f66ed3c	-0.752475	29.646	-0.4282	25.01	-0.324	4.636
33a9691c	0.108911	20.0743	0.5247	15.46	-0.416	4.614
510ed474	-1.07921	31.6733	-0.849	27.09	-0.23	4.583
562c44f4	-0.475248	31.2896	-0.2797	26.75	-0.196	4.54
385b999c	-1.39604	32.8663	-1.2599	28.33	-0.136	4.536
5168ca24	0.663366	15.8614	0.4554	11.37	0.208	4.491
5571578c	0.742574	18.6881	0.5346	14.2	0.208	4.488
47f1dcb4	-0.0792079	27.9233	-0.2871	23.44	0.208	4.483
5db36f4c	-0.881188	32.4901	-0.5767	28.02	-0.304	4.47
